# reimpl: cobevtbench model=cobevt_camera_static dataset=opv2v_camera
# 627 tensors, 26323909 parameters

sinbevt.bottlenecks.1.1.bn2.running_var	[32]
sinbevt.bottlenecks.1.1.bn2.num_batches_tracked	[]
sinbevt.bottlenecks.1.1.conv3.weight	[128, 32, 1, 1]
sinbevt.bottlenecks.1.1.bn3.weight	[128]
sinbevt.bottlenecks.1.1.bn3.bias	[128]
sinbevt.bottlenecks.1.1.bn3.running_mean	[128]
sinbevt.bottlenecks.1.1.bn3.running_var	[128]
sinbevt.bottlenecks.1.1.bn3.num_batches_tracked	[]
sinbevt.bottlenecks.2.0.conv1.weight	[32, 128, 1, 1]
sinbevt.bottlenecks.2.0.bn1.weight	[32]
sinbevt.bottlenecks.2.0.bn1.bias	[32]
sinbevt.bottlenecks.2.0.bn1.running_mean	[32]
sinbevt.bottlenecks.2.0.bn1.running_var	[32]
sinbevt.bottlenecks.2.0.bn1.num_batches_tracked	[]
sinbevt.bottlenecks.2.0.conv2.weight	[32, 32, 3, 3]
sinbevt.bottlenecks.2.0.bn2.weight	[32]
sinbevt.bottlenecks.2.0.bn2.bias	[32]
sinbevt.bottlenecks.2.0.bn2.running_mean	[32]
sinbevt.bottlenecks.2.0.bn2.running_var	[32]
sinbevt.bottlenecks.2.0.bn2.num_batches_tracked	[]
sinbevt.bottlenecks.2.0.conv3.weight	[128, 32, 1, 1]
sinbevt.bottlenecks.2.0.bn3.weight	[128]
sinbevt.bottlenecks.2.0.bn3.bias	[128]
sinbevt.bottlenecks.2.0.bn3.running_mean	[128]
sinbevt.bottlenecks.2.0.bn3.running_var	[128]
sinbevt.bottlenecks.2.0.bn3.num_batches_tracked	[]
sinbevt.bottlenecks.2.1.conv1.weight	[32, 128, 1, 1]
sinbevt.bottlenecks.2.1.bn1.weight	[32]
sinbevt.bottlenecks.2.1.bn1.bias	[32]
sinbevt.bottlenecks.2.1.bn1.running_mean	[32]
sinbevt.bottlenecks.2.1.bn1.running_var	[32]
sinbevt.bottlenecks.2.1.bn1.num_batches_tracked	[]
sinbevt.bottlenecks.2.1.conv2.weight	[32, 32, 3, 3]
sinbevt.bottlenecks.2.1.bn2.weight	[32]
sinbevt.bottlenecks.2.1.bn2.bias	[32]
sinbevt.bottlenecks.2.1.bn2.running_mean	[32]
sinbevt.bottlenecks.2.1.bn2.running_var	[32]
sinbevt.bottlenecks.2.1.bn2.num_batches_tracked	[]
sinbevt.bottlenecks.2.1.conv3.weight	[128, 32, 1, 1]
sinbevt.bottlenecks.2.1.bn3.weight	[128]
