# official checkpoint: /local/554122/ckpt/opv2v_zoo/cobevt_camera_dynamic/net_epoch91.pth
# 648 tensors, 27452686 parameters

fax.cross_views.1.cross_win_attend_2.to_v.0.weight	[128]
fax.cross_views.1.cross_win_attend_2.to_v.0.bias	[128]
fax.cross_views.1.cross_win_attend_2.to_v.1.weight	[128, 128]
fax.cross_views.1.cross_win_attend_2.to_v.1.bias	[128]
fax.cross_views.1.cross_win_attend_2.proj.weight	[128, 128]
fax.cross_views.1.cross_win_attend_2.proj.bias	[128]
fax.cross_views.1.prenorm_1.weight	[128]
fax.cross_views.1.prenorm_1.bias	[128]
fax.cross_views.1.prenorm_2.weight	[128]
fax.cross_views.1.prenorm_2.bias	[128]
fax.cross_views.1.mlp_1.0.weight	[256, 128]
fax.cross_views.1.mlp_1.0.bias	[256]
fax.cross_views.1.mlp_1.2.weight	[128, 256]
fax.cross_views.1.mlp_1.2.bias	[128]
fax.cross_views.1.mlp_2.0.weight	[256, 128]
fax.cross_views.1.mlp_2.0.bias	[256]
fax.cross_views.1.mlp_2.2.weight	[128, 256]
fax.cross_views.1.mlp_2.2.bias	[128]
fax.cross_views.1.postnorm.weight	[128]
fax.cross_views.1.postnorm.bias	[128]
fax.cross_views.2.feature_linear.0.weight	[512]
fax.cross_views.2.feature_linear.0.bias	[512]
fax.cross_views.2.feature_linear.0.running_mean	[512]
fax.cross_views.2.feature_linear.0.running_var	[512]
fax.cross_views.2.feature_linear.0.num_batches_tracked	[]
fax.cross_views.2.feature_linear.2.weight	[128, 512, 1, 1]
fax.cross_views.2.feature_proj.0.weight	[512]
fax.cross_views.2.feature_proj.0.bias	[512]
fax.cross_views.2.feature_proj.0.running_mean	[512]
fax.cross_views.2.feature_proj.0.running_var	[512]
fax.cross_views.2.feature_proj.0.num_batches_tracked	[]
fax.cross_views.2.feature_proj.2.weight	[128, 512, 1, 1]
fax.cross_views.2.img_embed.weight	[128, 4, 1, 1]
fax.cross_views.2.cam_embed.weight	[128, 4, 1, 1]
fax.cross_views.2.cross_win_attend_1.to_q.0.weight	[128]
fax.cross_views.2.cross_win_attend_1.to_q.0.bias	[128]
fax.cross_views.2.cross_win_attend_1.to_q.1.weight	[128, 128]
fax.cross_views.2.cross_win_attend_1.to_q.1.bias	[128]
fax.cross_views.2.cross_win_attend_1.to_k.0.weight	[128]
fax.cross_views.2.cross_win_attend_1.to_k.0.bias	[128]
fax.cross_views.2.cross_win_attend_1.to_k.1.weight	[128, 128]
fax.cross_views.2.cross_win_attend_1.to_k.1.bias	[128]
fax.cross_views.2.cross_win_attend_1.to_v.0.weight	[128]
fax.cross_views.2.cross_win_attend_1.to_v.0.bias	[128]
fax.cross_views.2.cross_win_attend_1.to_v.1.weight	[128, 128]
fax.cross_views.2.cross_win_attend_1.to_v.1.bias	[128]
fax.cross_views.2.cross_win_attend_1.proj.weight	[128, 128]
fax.cross_views.2.cross_win_attend_1.proj.bias	[128]
fax.cross_views.2.cross_win_attend_2.to_q.0.weight	[128]
fax.cross_views.2.cross_win_attend_2.to_q.0.bias	[128]
fax.cross_views.2.cross_win_attend_2.to_q.1.weight	[128, 128]
fax.cross_views.2.cross_win_attend_2.to_q.1.bias	[128]
fax.cross_views.2.cross_win_attend_2.to_k.0.weight	[128]
fax.cross_views.2.cross_win_attend_2.to_k.0.bias	[128]
fax.cross_views.2.cross_win_attend_2.to_k.1.weight	[128, 128]
fax.cross_views.2.cross_win_attend_2.to_k.1.bias	[128]
fax.cross_views.2.cross_win_attend_2.to_v.0.weight	[128]
fax.cross_views.2.cross_win_attend_2.to_v.0.bias	[128]
fax.cross_views.2.cross_win_attend_2.to_v.1.weight	[128, 128]
fax.cross_views.2.cross_win_attend_2.to_v.1.bias	[128]
fax.cross_views.2.cross_win_attend_2.proj.weight	[128, 128]
fax.cross_views.2.cross_win_attend_2.proj.bias	[128]
fax.cross_views.2.prenorm_1.weight	[128]
fax.cross_views.2.prenorm_1.bias	[128]
fax.cross_views.2.prenorm_2.weight	[128]
fax.cross_views.2.prenorm_2.bias	[128]
fax.cross_views.2.mlp_1.0.weight	[256, 128]
fax.cross_views.2.mlp_1.0.bias	[256]
fax.cross_views.2.mlp_1.2.weight	[128, 256]
fax.cross_views.2.mlp_1.2.bias	[128]
fax.cross_views.2.mlp_2.0.weight	[256, 128]
fax.cross_views.2.mlp_2.0.bias	[256]
fax.cross_views.2.mlp_2.2.weight	[128, 256]
fax.cross_views.2.mlp_2.2.bias	[128]
fax.cross_views.2.postnorm.weight	[128]
fax.cross_views.2.postnorm.bias	[128]
fax.layers.0.0.conv1.weight	[32, 128, 1, 1]
fax.layers.0.0.bn1.weight	[32]
fax.layers.0.0.bn1.bias	[32]
fax.layers.0.0.bn1.running_mean	[32]
fax.layers.0.0.bn1.running_var	[32]
fax.layers.0.0.bn1.num_batches_tracked	[]
fax.layers.0.0.conv2.weight	[32, 32, 3, 3]
fax.layers.0.0.bn2.weight	[32]
fax.layers.0.0.bn2.bias	[32]
fax.layers.0.0.bn2.running_mean	[32]
fax.layers.0.0.bn2.running_var	[32]
fax.layers.0.0.bn2.num_batches_tracked	[]
